zip,lat,lng,city,state_name
1367,42.6958,-72.91185,Rowe,Massachusetts
1368,42.68082,-72.18602,Royalston,Massachusetts
1370,42.59655,-72.72864,Shelburne Falls,Massachusetts
1373,42.47292,-72.61562,South Deerfield,Massachusetts
1375,42.46511,-72.55461,Sunderland,Massachusetts
1376,42.59533,-72.55579,Turners Falls,Massachusetts
1378,42.6748,-72.34581,Warwick,Massachusetts
1379,42.55285,-72.40252,Wendell,Massachusetts
1420,42.58578,-71.81662,Fitchburg,Massachusetts
1430,42.66019,-71.92369,Ashburnham,Massachusetts
1431,42.67652,-71.82323,Ashby,Massachusetts
1432,42.56467,-71.57139,Ayer,Massachusetts
1434,42.53854,-71.6115,Devens,Massachusetts
1436,42.60547,-72.08848,Baldwinville,Massachusetts
1438,42.5618,-72.0317,East Templeton,Massachusetts
1440,42.58738,-71.98648,Gardner,Massachusetts
1450,42.61368,-71.56142,Groton,Massachusetts
1451,42.50124,-71.57378,Harvard,Massachusetts
1452,42.48379,-72.00514,Hubbardston,Massachusetts
1453,42.51863,-71.76138,Leominster,Massachusetts
1460,42.53501,-71.4891,Littleton,Massachusetts
1462,42.58968,-71.7199,Lunenburg,Massachusetts
1463,42.67127,-71.60426,Pepperell,Massachusetts
1464,42.57331,-71.64837,Shirley,Massachusetts
1467,42.48772,-71.61729,Still River,Massachusetts
1468,42.55208,-72.06894,Templeton,Massachusetts
1469,42.66673,-71.69396,Townsend,Massachusetts
1473,42.55122,-71.90266,Westminster,Massachusetts
1474,42.66784,-71.75221,West Townsend,Massachusetts
1475,42.66667,-72.04899,Winchendon,Massachusetts
1501,42.1972,-71.84534,Auburn,Massachusetts
1503,42.38378,-71.63551,Berlin,Massachusetts
1504,42.0399,-71.53122,Blackstone,Massachusetts
1505,42.35633,-71.72123,Boylston,Massachusetts
1506,42.19365,-72.10441,Brookfield,Massachusetts
1507,42.13509,-71.96803,Charlton,Massachusetts
1510,42.4119,-71.68882,Clinton,Massachusetts
1515,42.20328,-72.0467,East Brookfield,Massachusetts
1516,42.05284,-71.75092,Douglas,Massachusetts
1518,42.12349,-72.11861,Fiskdale,Massachusetts
1519,42.2011,-71.68019,Grafton,Massachusetts
1520,42.33536,-71.85284,Holden,Massachusetts
1521,42.06012,-72.16592,Holland,Massachusetts
1522,42.38137,-71.86913,Jefferson,Massachusetts
1523,42.47971,-71.67844,Lancaster,Massachusetts
1524,42.24923,-71.91983,Leicester,Massachusetts
1525,42.10683,-71.63236,Linwood,Massachusetts
1527,42.19218,-71.77416,Millbury,Massachusetts
1529,42.03905,-71.57766,Millville,Massachusetts
1531,42.31929,-72.12795,New Braintree,Massachusetts
1532,42.32315,-71.64621,Northborough,Massachusetts
1534,42.14043,-71.643,Northbridge,Massachusetts
1535,42.2695,-72.07795,North Brookfield,Massachusetts
1536,42.23236,-71.69101,North Grafton,Massachusetts
1537,42.16157,-71.89148,North Oxford,Massachusetts
1540,42.11634,-71.85733,Oxford,Massachusetts
1541,42.45649,-71.88128,Princeton,Massachusetts
1542,42.20187,-71.91079,Rochdale,Massachusetts
1543,42.38482,-71.96727,Rutland,Massachusetts
1545,42.28423,-71.71554,Shrewsbury,Massachusetts
1550,42.06039,-72.03377,Southbridge,Massachusetts
1560,42.17496,-71.67756,South Grafton,Massachusetts
1561,42.44395,-71.6855,South Lancaster,Massachusetts
1562,42.24715,-71.99189,Spencer,Massachusetts
1564,42.44124,-71.77297,Sterling,Massachusetts
1566,42.1024,-72.08116,Sturbridge,Massachusetts
1568,42.17702,-71.60467,Upton,Massachusetts
1569,42.05873,-71.63708,Uxbridge,Massachusetts
1570,42.05206,-71.8485,Webster,Massachusetts
1571,42.05501,-71.93519,Dudley,Massachusetts
1581,42.26816,-71.61402,Westborough,Massachusetts
1583,42.37025,-71.78499,West Boylston,Massachusetts
1585,42.24152,-72.16193,West Brookfield,Massachusetts
1588,42.11992,-71.66955,Whitinsville,Massachusetts
1590,42.13395,-71.75087,Sutton,Massachusetts
1602,42.27223,-71.84951,Worcester,Massachusetts
1603,42.24406,-71.84445,Worcester,Massachusetts
1604,42.25146,-71.76773,Worcester,Massachusetts
1605,42.28947,-71.78751,Worcester,Massachusetts
1606,42.31444,-71.79556,Worcester,Massachusetts
1607,42.22748,-71.78877,Worcester,Massachusetts
1608,42.26185,-71.80162,Worcester,Massachusetts
1609,42.28645,-71.82895,Worcester,Massachusetts
1610,42.24674,-71.80966,Worcester,Massachusetts
1611,42.23829,-71.87726,Cherry Valley,Massachusetts
1612,42.31035,-71.93077,Paxton,Massachusetts
1701,42.32174,-71.43817,Framingham,Massachusetts
1702,42.28217,-71.43387,Framingham,Massachusetts
1718,42.51973,-71.42939,Acton,Massachusetts
1719,42.48836,-71.51782,Boxborough,Massachusetts
1720,42.48417,-71.43805,Acton,Massachusetts
1721,42.25729,-71.46866,Ashland,Massachusetts
1730,42.49697,-71.27834,Bedford,Massachusetts
1731,42.45675,-71.27952,Hanscom Afb,Massachusetts
1740,42.43616,-71.60728,Bolton,Massachusetts
1741,42.53001,-71.35128,Carlisle,Massachusetts
1742,42.46225,-71.36424,Concord,Massachusetts
1745,42.29204,-71.5013,Fayville,Massachusetts
1746,42.19775,-71.44499,Holliston,Massachusetts
1747,42.1248,-71.53508,Hopedale,Massachusetts
1748,42.2255,-71.53779,Hopkinton,Massachusetts
1749,42.38868,-71.54647,Hudson,Massachusetts
1752,42.3494,-71.54681,Marlborough,Massachusetts
1754,42.4264,-71.45612,Maynard,Massachusetts
1756,42.09302,-71.55148,Mendon,Massachusetts
1757,42.15678,-71.51911,Milford,Massachusetts
1760,42.28434,-71.34983,Natick,Massachusetts
1770,42.23414,-71.37532,Sherborn,Massachusetts
1772,42.30144,-71.53042,Southborough,Massachusetts
1773,42.4252,-71.31039,Lincoln,Massachusetts
1775,42.42983,-71.51148,Stow,Massachusetts
1776,42.38473,-71.4234,Sudbury,Massachusetts
1778,42.35829,-71.35918,Wayland,Massachusetts
1801,42.487,-71.15426,Woburn,Massachusetts
1803,42.50216,-71.20257,Burlington,Massachusetts
1810,42.64655,-71.16505,Andover,Massachusetts
1821,42.55017,-71.25217,Billerica,Massachusetts
1824,42.59114,-71.35564,Chelmsford,Massachusetts
1826,42.68314,-71.30061,Dracut,Massachusetts
1827,42.67642,-71.5005,Dunstable,Massachusetts
1830,42.79591,-71.05314,Haverhill,Massachusetts
1832,42.79103,-71.13131,Haverhill,Massachusetts
1833,42.72401,-70.9821,Georgetown,Massachusetts
1834,42.75199,-71.01486,Groveland,Massachusetts
1835,42.75293,-71.08594,Haverhill,Massachusetts
1840,42.70688,-71.1601,Lawrence,Massachusetts
1841,42.71083,-71.1651,Lawrence,Massachusetts
1843,42.68984,-71.16097,Lawrence,Massachusetts
1844,42.73401,-71.18889,Methuen,Massachusetts
1845,42.67135,-71.08653,North Andover,Massachusetts
1850,42.65569,-71.30292,Lowell,Massachusetts
1851,42.62813,-71.33566,Lowell,Massachusetts
1852,42.63232,-71.29538,Lowell,Massachusetts
1854,42.64907,-71.34805,Lowell,Massachusetts
1860,42.83857,-71.01192,Merrimac,Massachusetts
1862,42.57487,-71.29344,North Billerica,Massachusetts
1863,42.63242,-71.39059,North Chelmsford,Massachusetts
1864,42.58156,-71.08755,North Reading,Massachusetts
1867,42.53507,-71.10555,Reading,Massachusetts
1876,42.61224,-71.22746,Tewksbury,Massachusetts
1879,42.66638,-71.42869,Tyngsboro,Massachusetts
1880,42.50222,-71.06702,Wakefield,Massachusetts
1886,42.58642,-71.44008,Westford,Massachusetts
1887,42.56099,-71.16545,Wilmington,Massachusetts
1890,42.4518,-71.1463,Winchester,Massachusetts
1901,42.46102,-70.94656,Lynn,Massachusetts
1902,42.47085,-70.93991,Lynn,Massachusetts
1904,42.49155,-70.97275,Lynn,Massachusetts
1905,42.46614,-70.97589,Lynn,Massachusetts
1906,42.46799,-71.01441,Saugus,Massachusetts
1907,42.47583,-70.90673,Swampscott,Massachusetts
1908,42.42978,-70.92729,Nahant,Massachusetts
1913,42.85296,-70.94458,Amesbury,Massachusetts
1915,42.5681,-70.86273,Beverly,Massachusetts
1921,42.68152,-71.01897,Boxford,Massachusetts
1922,42.75872,-70.91448,Byfield,Massachusetts
1923,42.57399,-70.94926,Danvers,Massachusetts
1929,42.63474,-70.77689,Essex,Massachusetts
1930,42.62589,-70.68968,Gloucester,Massachusetts
1937,42.58573,-70.98403,Hathorne,Massachusetts
1938,42.68365,-70.84325,Ipswich,Massachusetts
1940,42.53456,-71.03757,Lynnfield,Massachusetts
1944,42.58154,-70.76825,Manchester,Massachusetts
1945,42.49911,-70.86368,Marblehead,Massachusetts
1949,42.60432,-71.01642,Middleton,Massachusetts
1950,42.81237,-70.88787,Newburyport,Massachusetts
1951,42.77803,-70.84977,Newbury,Massachusetts
1952,42.84654,-70.86162,Salisbury,Massachusetts
1960,42.53372,-70.97223,Peabody,Massachusetts
1966,42.65435,-70.6222,Rockport,Massachusetts
1969,42.72121,-70.89293,Rowley,Massachusetts
1970,42.5126,-70.90376,Salem,Massachusetts
1982,42.62676,-70.85795,South Hamilton,Massachusetts
1983,42.63728,-70.94257,Topsfield,Massachusetts
1984,42.60083,-70.88251,Wenham,Massachusetts
1985,42.79391,-70.96907,West Newbury,Massachusetts
2019,42.07773,-71.47408,Bellingham,Massachusetts
2021,42.17514,-71.12656,Canton,Massachusetts
2025,42.23604,-70.81903,Cohasset,Massachusetts
2026,42.24671,-71.17777,Dedham,Massachusetts
2030,42.23663,-71.28418,Dover,Massachusetts
2032,42.15491,-71.21548,East Walpole,Massachusetts
2035,42.06266,-71.24613,Foxboro,Massachusetts
2038,42.08623,-71.41127,Franklin,Massachusetts
2043,42.21678,-70.88499,Hingham,Massachusetts
2045,42.28436,-70.88269,Hull,Massachusetts
2047,42.13346,-70.68674,Humarock,Massachusetts
2048,42.01626,-71.21868,Mansfield,Massachusetts
2050,42.11488,-70.71476,Marshfield,Massachusetts
2052,42.18481,-71.305,Medfield,Massachusetts
2053,42.15352,-71.42904,Medway,Massachusetts
2054,42.16933,-71.36255,Millis,Massachusetts
2056,42.11637,-71.32963,Norfolk,Massachusetts
2061,42.16074,-70.81774,Norwell,Massachusetts
2062,42.18604,-71.19492,Norwood,Massachusetts
2066,42.20146,-70.76181,Scituate,Massachusetts
2067,42.10811,-71.18143,Sharon,Massachusetts
2071,42.10278,-71.27208,South Walpole,Massachusetts
2072,42.11922,-71.10188,Stoughton,Massachusetts
2081,42.14651,-71.25883,Walpole,Massachusetts
2090,42.22025,-71.21068,Westwood,Massachusetts
2093,42.0513,-71.35522,Wrentham,Massachusetts
2108,42.35767,-71.06505,Boston,Massachusetts
2109,42.36474,-71.05301,Boston,Massachusetts
2110,42.35831,-71.05175,Boston,Massachusetts
2111,42.35007,-71.05911,Boston,Massachusetts
2113,42.36542,-71.0554,Boston,Massachusetts
2114,42.36316,-71.06732,Boston,Massachusetts
2115,42.34108,-71.09458,Boston,Massachusetts
2116,42.3506,-71.07566,Boston,Massachusetts
2118,42.33818,-71.07072,Boston,Massachusetts
2119,42.3241,-71.08483,Roxbury,Massachusetts
2120,42.3321,-71.09637,Roxbury Crossing,Massachusetts
2121,42.30589,-71.08586,Dorchester,Massachusetts
2122,42.30007,-71.03352,Dorchester,Massachusetts
2124,42.28572,-71.07105,Dorchester Center,Massachusetts
2125,42.31544,-71.05594,Dorchester,Massachusetts
2126,42.27434,-71.09383,Mattapan,Massachusetts
2127,42.33479,-71.03901,South Boston,Massachusetts
2128,42.37268,-71.01652,East Boston,Massachusetts
2129,42.37975,-71.06169,Charlestown,Massachusetts
2130,42.30986,-71.11487,Jamaica Plain,Massachusetts
2131,42.28463,-71.12653,Roslindale,Massachusetts
2132,42.28025,-71.16145,West Roxbury,Massachusetts
2134,42.35787,-71.12941,Allston,Massachusetts
2135,42.34981,-71.15386,Brighton,Massachusetts
2136,42.25533,-71.12934,Hyde Park,Massachusetts
2138,42.38004,-71.13463,Cambridge,Massachusetts
2139,42.36253,-71.10302,Cambridge,Massachusetts
2140,42.39327,-71.13323,Cambridge,Massachusetts
2141,42.36999,-71.08265,Cambridge,Massachusetts
2142,42.36195,-71.082,Cambridge,Massachusetts
2143,42.38145,-71.09684,Somerville,Massachusetts
2144,42.40074,-71.12194,Somerville,Massachusetts
2145,42.39204,-71.08958,Somerville,Massachusetts
2148,42.43048,-71.0576,Malden,Massachusetts
2149,42.40642,-71.05447,Everett,Massachusetts
